Handle,Title,"Option1 Value","Option2 Value","Option3 Value",SKU,ID,Vendor,Type,Published,"global[""description_tag""]:string","global[""title_tag""]:string","custom_fields[""roast_level""]:string","custom_fields[""grind""]:string","custom_fields[""region""]:string","custom_fields[""cup""]:string","custom_fields[""origin""]:string","custom_fields[""roaster_ship_day""]:string","custom_fields[""roaster_page""]:string","mc-facebook[""google_product_category""]:string","mc-facebook[""condition""]:string","custom_fields[""country""]:string","custom_fields[""certifications""]:list.single_line_text_field","govalo[""giftable_product""]:single_line_text_field","custom_fields[""growing_altitude""]:string","custom_fields[""variety""]:string","global[""harmonized_system_code""]:string","govalo[""bold""]:single_line_text_field","govalo[""giftCard""]:boolean","seo[""hidden""]:number_integer","govalo[""boldSourceId""]:single_line_text_field","mm-google-shopping[""google_product_category""]:string"
portola-coffee-roasters-sumatra-mandheling,"Sumatra Mandheling",,,,,6077042950314,"Portola Coffee Roasters","12 oz. bag",,"This is a full-bodied decaf coffee that is as versatile as it is tasty, which works great as espresso too. Portola Coffee has roasted this offering a bit deeper to cut down on the acidity. It plays well with milk and has the complexity to be enjoyed black.","Portola Coffee Roasters - Sumatra Mandheling",Medium,"Whole Bean",Sumatra,"Dark Fruit, Earthy, Chocolate, Herbal",Indonesia,Weekdays,/pages/portola-coffee-roasters,1868,new,Indonesia,,false,"900-2,100 MASL",,,,,,,
portola-coffee-roasters-sumatra-mandheling,,"Default Title",,,sw0003,,,,,,,,,,,,,,,,,,,,,,,,,,
verena-street-rocking-chair,"Rocking Chair",,,,,6077043048618,"Verena Street","10 oz. bag",true,"Verena Street has created their Iowa Native line of coffee to embody the spirit of the Midwest and the farmhouse of yesteryear by supporting sustainability and authenticity. This 100% Fair Trade Certified coffee will leave you relaxed, with its smooth body and clean aftertaste, and the flavors are sure to be pleasant, any time of the day. *Note* This decaf comes only as ground coffee.","Verena Street - Rocking Chair",Medium,Ground,,"Smooth and Clean",Colombia,Weekdays,/pages/verena-street,1868,new,Colombia,"[""Organic""]",false,,,,,,,,
verena-street-rocking-chair,,"Default Title",,,sw0050,,,,,,,,,,,,,,,,,,,,,,,,,,
dancing-goats-coffee-dancing-goats-blend,"Legacy Decaf—12oz",,,,,6077043081386,"Dancing Goats Coffee","12 oz. bag",true,,"Dancing Goats Coffee - Dancing Goats® Blend",Medium,"Whole Bean","East Africa, Central America, Indonesia","Cherry, Chocolate, Spice",Blend,Thursday,/pages/dancing-goats-coffee,1868,new,,[],false,,,,,,,,
dancing-goats-coffee-dancing-goats-blend,,"Default Title",,,sw0028,,,,,,,,,,,,,,,,,,,,,,,,,,
takelma-wilaw,"Arrow Wiláw",,,,,6077043179690,"Takelma Roasting Company","12 oz. bag",true,"This dark-roast Brazilian coffee from Takelma is the definition of classic: rich and bold, with notes of chocolate and nuts. Their commitment to sourcing only specialty and sustainable coffee shines through in the quality of this smooth cup of coffee.","Takelma - Wiláw",Dark,"Whole Bean",,"Rich, Chocolate, Nuts",Brazil,Weekdays,/pages/takelma-roasting-company,1868,new,Brazil,"[""Fair Trade"",""Kosher"",""Rainforest Alliance""]",false,,,,,,,,
takelma-wilaw,,"Default Title",,,sw0030,,,,,,,,,,,,,,,,,,,,,,,,,,
dancing-goats-coffee-organic-peru,"Organic Peru",,,,,6077043212458,"Dancing Goats Coffee","12 oz. bag",,,"Dancing Goats Coffee - Organic Peru","Light Medium","Whole Bean","San Ignacio, Cajamarca","Hazelnut, Sugarcane, Orange Zest",Peru,Thursday,/pages/dancing-goats-coffee,1868,new,Peru,"[""Organic"",""Fair Trade""]",false,"1100 - 1900 MASL","Caturra, Catimor, Typica, Bourbon, Paches",,,,,,
dancing-goats-coffee-organic-peru,,"Default Title",,,sw0027,,,,,,,,,,,,,,,,,,,,,,,,,,
dewired-maya-honduras,"Maya Honduras",,,,,6077043310762,"Dewired Coffee","12 oz. bag",,"Caffeine isn't for everyone, which is why Dewired coffee was founded. The craft roaster specializes in decaf, sourcing from all over the world to create the perfect cup of coffee—without caffeine. This offering from Honduras is, of course, perfect for enjoyment at any time of day, and is certified Fair Trade and Organic. NOTE: Dewired roasts and ships coffee every 2nd and last Thursday of each month. Place your order before the previous Tuesday at 12PM PST to get included in the next shipment!","Dewired- Maya Honduras",Medium,"Whole Bean",,"Milk Chocolate, Almond",Honduras,"2nd and Last Thursday",/pages/dewired-coffee,1868,new,Honduras,,,"1,295–1,699 MASL","Bourbon, Catuaí Caturra, Typica",,,,,,
dewired-maya-honduras,,"Whole bean",,,sw0056,,,,,,,,,,,,,,,,,,,,,,,,,,
manzanita-guatemala,Guatemala,,,,,6077043409066,"Manzanita Roasting Company","12 oz. bag",,"This offering from Guatemala is from Ana Maria Ortega's farm Los Angeles. She has been running the farm since she was 17. This coffee tastes smooth and sweet like berries and chocolate.","Manzanita - Guatemala",Medium,"Whole Bean",Huehuetenango,"Berries, Chocolate",Guatemala,Weekdays,/pages/manzanita-roasting-company,1868,new,Guatemala,,false,"1,800 MASL","Caturra, Pache",,,,,,
manzanita-guatemala,,"Default Title",,,sw0016,,,,,,,,,,,,,,,,,,,,,,,,,,
colombia-robinson-figueroa,"Colombia Robinson Figueroa",,,,,6077043441834,"Coava Coffee Roasters","10.5 oz. bag",,"Coava Coffee is proud to maintain a relationship with innovative fourth-generation Colombian farmer Robinson Figueroa. His farm in the Huila region uses water-efficient processing equipment, and Robinson plans to build his own wet mill. This coffee, made up of Colombia and Caturra varieties, makes an exceptional decaf with notes of chocolate mousse, dried blueberry, and crisp Fuji apple. NOTE: Coava roasts and ships coffee every Monday and Thursday. Place your order before Tuesday 12PM PST to get included in that same week's shipment. Orders placed by Friday 12PM PST will roast and ship the following Monday.","A smooth and fruity decaf from fourth-generation Colombian farmer Robinson Figueroa.",Medium,"Whole Bean",Huila,"Chocolate Mousse, Dried Blueberry, Crisp Fuji Apple",Colombia,"Monday, Thursday",/pages/coava-coffee-roasters,1868,new,,,,"1,535-1,750 MASL","Colombia, Caturra",,,,,,
colombia-robinson-figueroa,,"Default Title",,,sw0059,,,,,,,,,,,,,,,,,,,,,,,,,,
colombia,Colombia,,,,,6077043474602,"Arcade Coffee Roasters","12 oz. bag",,"This balanced, lush offering from Colombia's Central Valley is roasted to deliciousness by Inland Empire, California roasters Arcade. You'll love its caramel and almond-noted sweetness so much, you won't miss the caffeine. NOTE: Arcade roasts and ships coffee every Tuesday. Place your order before the previous Friday 12 PM PST to get included in that week's shipment!","This balanced, lush offering from Colombia's Central Valley is roasted to deliciousness by Inland Empire, California roasters Arcade. You'll love its caramel and almond-noted sweetness so much you won't miss the caffeine.",Medium,"Whole Bean","Central Valley","Milk Chocolate, Caramel, Almond",Colombia,Tuesday,/pages/arcade-coffee-roasters,1868,new,Colombia,,,"1,600 MASL","Caturra, Colombia",,,,,,
colombia,,"Whole bean",,,sw0046,,,,,,,,,,,,,,,,,,,,,,,,,,
peru-san-ignacio,"Peru San Ignacio",,,,,6077043507370,"Kuma Coffee","12 oz. bag",,"Kuma Coffee works directly with Swiss Water to source fresh and exciting offerings throughout the year. This Peruvian coffee represents a finely selected and carefully roasted decaf grown by the Aprocassi Cooperative, a group made up of 72 women in the San Ignacio region. The co-op's goal is to produce delicious coffee while creating career opportunities and access to financial education for women in the community.",,Medium,"Whole Bean",,"Orange Zest, Praline, Wildflower Honey, Figs",Peru,Weekdays,/pages/kuma-coffee,1868,new,Peru,,,,,,,,,,
peru-san-ignacio,,"Whole bean",,,sw0054,,,,,,,,,,,,,,,,,,,,,,,,,,
kaldis-coffee-cafe-kaldi,"Cafe Kaldi",,,,,6077043540138,"Kaldi's Coffee Roasting Co","12 oz. bag",,"What we love about this blend of African and Latin American beans is the extra care taken by the team at Kaldi's to roast in two batches. Half the beans are roasted lightly to preserve their essential flavors and acidity, and the other half are roasted a little darker to add sweetness and body. The result is a perfectly balanced cup of coffee without caffeine.","Kaldi's Coffee - Cafe Kaldi",Medium,"Whole Bean","Latin America","Dark Cherry, Balanced, Sweet Pastry",Blend,Weekdays,/pages/kaldis-coffee-roasting-co,1868,new,,[],false,"1,100–1,200 MASL",,,,,,,
kaldis-coffee-cafe-kaldi,,"Default Title",,,sw0013,,,,,,,,,,,,,,,,,,,,,090122,,,,,
linea-big-calm,"Big Calm",,,,,6077043736746,"Linea Caffe","8.8 oz. bag",true,,,Medium,"Whole Bean",,"Toffee, Sugarcane, Stonefruit, Dutch Process Cocoa",Blend,"Tuesday, Thursday",/pages/linea-caffe,1868,new,"El Salvador and Ethiopia","[""Organic""]",false,,,,,,,,
linea-big-calm,,"Default Title",,,sw0052,,,,,,,,,,,,,,,,,,,,,,,,,,
kaldis-coffee-terra-linda-fair-trade-organic,"Terra Linda, Fair Trade Organic",,,,,6077044031658,"Kaldi's Coffee Roasting Co","12 oz. bag",,"These Central American beans come from farmers who agree to use no synthetic fertilizers, herbicides or pesticides on their lands. These communities are committed to sustainable farming and to the health of their families and employees. Our 100% chemical free decaffeination process ensures the hard work of the farmers and the organic certification remains intact.","Kaldi's Coffee - Terra Linda, Fair Trade Organic",Medium,"Whole Bean","Latin America","Smooth, Rich, Light Sweet Finish",Blend,Weekdays,/pages/kaldis-coffee-roasting-co,1868,new,,"[""Organic"",""Fair Trade""]",,"1,400–1,600 MASL",,,,,,,
kaldis-coffee-terra-linda-fair-trade-organic,,"Default Title",,,sw0010,,,,,,,,,,,,,,,,,,,,,,,,,,
1-logo-stickers,"Stickers—1″ Logo",,,,,6110515986602,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
1-logo-stickers,,Blue,"1""",500/roll,201,,,,,,,,,,,,,,,,,,,,,,,,,,
logo-stickers-black,"Stickers—1″ Logo (Black)",,,,,6110516445354,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
logo-stickers-black,,Black,"1""",500/roll,202,,,,,,,,,,,,,,,,,,,,,,,,,,
logo-stickers-white,"Stickers—1″ Logo (Clear)",,,,,6110518706346,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
logo-stickers-white,,White/Blue,"1""",500/roll,203,,,,,,,,,,,,,,,,,,,,,,,,,,
logo-stamp,"Logo Stamp",,,,,6111353634986,"Swiss Water","Brand Materials",,,,,,,,,,,,new,,,,,,,,,,,
logo-stamp,,Black,"1""",1,270,,,,,,,,,,,,,,,,,,,,,,,,,,
consumer-information-cards-stand,"Consumer Information Cards & Stand",,,,,6111354781866,"Swiss Water","Brand Materials",,,,,,,,,,,,new,,,,,,,,,,,
consumer-information-cards-stand,,"25/pack & stand",,,273,,,,,,,,,,,,,,,,,,,,,,,,,,
1-logo-stickers-decaf,"Stickers—1″ Logo (DECAF)",,,,,6111358419114,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
1-logo-stickers-decaf,,Blue,"1""",500/roll,207,,,,,,,,,,,,,,,,,,,,,,,,,,
1-logo-stickers-decaf-1,"Stickers—1″ Logo (Clear, DECAF)",,,,,6111359369386,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
1-logo-stickers-decaf-1,,White/Blue,"1""",500/roll,208,,,,,,,,,,,,,,,,,,,,,,,,,,
1-logo-stickers-decaf-2,"Stickers—1″ Logo (Black, DECAF)",,,,,6111360745642,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
1-logo-stickers-decaf-2,,Black,"1""",500/roll,209,,,,,,,,,,,,,,,,,,,,,,,,,,
2-logo-stickers,"Stickers—2″ Logo",,,,,6111379128490,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
2-logo-stickers,,Blue,"2""",250/roll,204,,,,,,,,,,,,,,,,,,,,,,,,,,
2-logo-stickers-1,"Stickers—2″ Logo (Clear)",,,,,6111380668586,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
2-logo-stickers-1,,White,"2""",250/roll,205,,,,,,,,,,,,,,,,,,,,,,,,,,
2-logo-stickers-2,"Stickers—2″ Logo (Black)",,,,,6111381848234,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
2-logo-stickers-2,,Black,"2""",250/roll,206,,,,,,,,,,,,,,,,,,,,,,,,,,
consumer-information-cards,"Consumer Information Cards",,,,,6111384436906,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
consumer-information-cards,,1,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,
window-cling,"Window Cling",,,,,6111397576874,"Swiss Water","Brand Materials",,,,,,,,,,,,new,,,,,,,,,,,
window-cling,,Clear,"5"" x 8""",English,266,,,,,,,,,,,,,,,,,,,,,,,,,,
window-cling,,Clear,"5"" x 8""",Francais,267,,,,,,,,,,,,,,,,,,,,,,,,,,
amazing-coffee-without-caffeine-stickers,"Stickers—Amazing Coffee Without Caffeine",,,,,6111684755626,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
amazing-coffee-without-caffeine-stickers,,"Black/ Blue","2.5"" x 1""",100/roll,274,,,,,,,,,,,,,,,,,,,,,,,,,,
re-sealable-tape,"Re-Sealable Tape",,,,,6111685771434,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
re-sealable-tape,,"Blue / White","1"" x 2.5""",500/roll,123,,,,,,,,,,,,,,,,,,,,,,,,,,
roast-guide,"Roast Guide",,,,,6111686885546,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
roast-guide,,1,,,277,,,,,,,,,,,,,,,,,,,,,,,,,,
roast-guide-small-format,"Roast Guide – Small Format",,,,,6111687803050,"Swiss Water","Brand Materials",true,,,,,,,,,,784,new,,,,,,,,,,,
roast-guide-small-format,,1,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,
manual-brewing-guide,"Manual Brewing Guide",,,,,6111689769130,"Swiss Water","Brand Materials",true,,,,,,,,,,,new,,,,,,,,,,,
manual-brewing-guide,,1,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,
spanish-roasting-guide,"Spanish Roasting Guide",,,,,6111691276458,"Swiss Water","Brand Materials",,,,,,,,,,,784,new,,,,,,,,,,,
spanish-roasting-guide,,1,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,
curated-coffee-subscription,"Curated Subscription",,,,,6127545516202,Blend,"Subscription Pack",true,"Receive a bag of fresh coffee at a frequency that works best for you.
Handpicked by Swiss Water. ",,,,,,,,https://www.swisswater.com/pages/coffee-decaffeination-process,,,,,,,,,7811387228330,,,,
curated-coffee-subscription,,"Whole bean",,,sw0095,,,,,,,,,,,,,,,,,,,,,,,,,,
talking-crow-guatemala-entre-rios,"Guatemala Entre Rios",,,,,6145404141738,"Talking Crow Coffee Roasters","12 oz. bag",,,"Talking Crow Coffee Roasters - Guatemala Entre Rios",Medium,"Whole Bean","San Marcos","Almond, Caramel, Chocolate",Guatemala,Tuesday,/pages/talking-crow-coffee-roasters,1868,new,,,,"~1,400 MASL","Bourbon, Sarchimor, Anacafe 14, Catimor",,,,,,
talking-crow-guatemala-entre-rios,,"Default Title",,,sw0060,,,,,,,,,,,,,,,,,,,,,,,,,,
kuma-coffee-costa-rica-el-poeta,"Costa Rica El Poeta",,,,,6145404174506,"Kuma Coffee","12 oz. bag",,,"Kuma Coffee - Costa Rica El Poeta",Medium,"Whole Bean",Alajuela,"Grape, Baking Spices, Milk Chocolate, Orange","Costa Rica",Weekdays,/pages/kuma-coffee,1868,new,,,,"1,550 MASL","Caturra, Catuai",,,,,,
kuma-coffee-costa-rica-el-poeta,,"Default Title",,,sw0061,,,,,,,,,,,,,,,,,,,,,,,,,,
cafe-grumpy-peru,Peru,,,,,6145404240042,"Cafe Grumpy","12 oz. bag",,,"Cafe Grumpy - Peru",Medium,"Whole Bean","San Ignacio, Cajamarca","Orange Zest, Toasted Almond, Chocolate-Covered Cherry",Peru,Weekdays,/pages/cafe-grumpy,1868,new,,[],,,,,,,,,
cafe-grumpy-peru,,"Default Title",,,sw0081,,,,,,,,,,,,,,,,,,,,,,,,,,
talking-crow-rwanda-musasa,"Rwanda Musasa",,,,,6178930852010,"Talking Crow Coffee Roasters","12 oz. bag",,"This selection from Washington State's Talking Crow Coffee Roasters is a unique opportunity to try a wonderful Rwandan coffee—without caffeine. This coffee is a 100% Red Bourbon variety, with a liveliness described as fruity and juicy.
NOTE: Talking Crow roasts and ships coffee every Tuesday. Place your order before Monday 12PM PST to get included in that week's shipment!","Talking Crow Coffee Roasters - Rwanda Musasa Decaf",Medium,"Whole Bean",Gakenke,"Black Cherry, Chocolate Cookie",Rwanda,Tuesday,/pages/talking-crow-coffee-roasters,1868,new,,,,"1900-2200 MASL",,,,,,,
talking-crow-rwanda-musasa,,"Default Title",,,sw0062,,,,,,,,,,,,,,,,,,,,,,,,,,
coava-las-capucas,"Las Capucas",,,,,6179059105962,"Coava Coffee Roasters","10.5 oz. bag",,"Located near the Mayan ruins, on the western side of Honduras, the Las Capucas cooperative has led the way in mill modernization for the sake of producing clean and consistent coffees. Our partners at Portland, Oregon boutique roaster Coava have worked with Capucas coffees for years, offering both caffeinated and Swiss Water® decaf versions of this very special coffee. ","Coava - Las Capucas",Medium,"Whole Bean","San Pedro de Copán","Red Currant, Brandy, Baker's Chocolate",Honduras,"Monday, Thursday",/pages/coava-coffee-roasters,1868,new,,"[""Organic""]",,"1400-1600 MASL","Caturra, Pacas",,,,,,
coava-las-capucas,,"Default Title",,,sw0009,,,,,,,,,,,,,,,,,,,,,,,,,,
savorista-ethiopian-ceremony,"Ethiopian Ceremony",,,,,6547067568298,Savorista,"10 oz. bag",,,"Savorista - Ethiopian Ceremony",Light,"Whole Bean",,"Milk Chocolate, Almonds, Blackberries, Hint of Lime",Guji,"Tuesday and Friday",/pages/savorista,1868,new,,[],,"1800 MASL","Ethiopian Landrace",,,,,,
savorista-ethiopian-ceremony,,"Default Title",,,sw0063,,,,,,,,,,,,,,,,,,,,,,,,,,
three-keys-coffee-peru-montreux,Montreux,,,,,6661843714218,"Three Keys Coffee","12 oz. bag",true,,,Medium,"Whole Bean","Veracruz, Antigua, Metapan","Almond, molasses & coffee blossom ","El Salvador, Guatemala, Mexico","Tuesday & Saturday",/pages/three-keys-coffee,1868,new,,[],,"1400–1800 MASL","Bourbon, Pacamara, Pacas, Typica",,,,,,
three-keys-coffee-peru-montreux,,"Default Title",,,sw0064,,,,,,,,,,,,,,,,,,,,,,,,,,
allegro-coffee-organic-espresso-bel-canto,"Organic Espresso Bel Canto",,,,,6661851513002,"Allegro Coffee","12 oz. bag",,,"Allegro Coffee - Organic Espresso Bel Canto",Medium,"Whole Bean","Latin America, Ethiopia","Cocoa, Berry",Blend,Weekdays,/pages/allegro-coffee,1868,new,,,,,,,,,,,
allegro-coffee-organic-espresso-bel-canto,,"Default Title",,,sw0065,,,,,,,,,,,,,,,,,,,,,,,,,,
allegro-coffee-organic-french-roast-1,"Organic French Roast",,,,,6661859901610,"Allegro Coffee","12 oz. bag",,,"Allegro Coffee - Organic French Roast",Dark,"Whole Bean","Latin America","Sweet, Smooth, Smoky",Blend,Weekdays,/pages/allegro-coffee,1868,new,,,,,,,,,,,
allegro-coffee-organic-french-roast-1,,"Default Title",,,sw0066,,,,,,,,,,,,,,,,,,,,,,,,,,
allegro-coffee-sumatra,Sumatra,,,,,6661862949034,"Allegro Coffee","12 oz. bag",,,"Allegro Coffee - Sumatra",Medium,Ground,Sumatra,"Herbal, Fragrant, Earthy",Indonesia,Weekdays,/pages/allegro-coffee,1868,new,,,,,,,,,,,
allegro-coffee-sumatra,,"Default Title",,,sw0067,,,,,,,,,,,,,,,,,,,,,,,,,,
gift-cards-from-swiss-water,"Give The Gift of Delicious Decaf",,,,,6669965492394,"Swiss Water","Gift Card",,"Send a gift of the best in decaffeinated coffee. When you see the Swiss Water® name, it means your favorite roaster offers 100% chemical-free decaffeinated coffee.",,,,,,,,,,,,,,,,,,,,,
gift-cards-from-swiss-water,,$20.00,,,sw0001a,,,,,,,,,,,,,,,,,,,,,,,,,,
gift-cards-from-swiss-water,,$50.00,,,sw0001b,,,,,,,,,,,,,,,,,,,,,,,,,,
gift-cards-from-swiss-water,,$100.00,,,sw0001c,,,,,,,,,,,,,,,,,,,,,,,,,,
coava-instant-las-capucas,"Instant Las Capucas",,,,,6700778193066,"Coava Coffee Roasters","6 servings",,,"Coava - Instant Las Capucas",Medium,Instant/on-the-go,"San Pedro de Copán","Red Currant, Brandy, Baker's Chocolate",Honduras,"Monday, Thursday",/pages/coava-coffee-roasters,1868,new,,"[""Organic""]",false,"1,600-1,650 MASL","Caturra, Pacas",,,,,,
coava-instant-las-capucas,,"Default Title",,,sw0068,,,,,,,,,,,,,,,,,,,,,,,,,,
arcade-coffee-roasters-la-bendicion,"La Bendicion",,,,,6724971659434,"Arcade Coffee Roasters","12 oz. bag",,"This decaffeinated offering by California's Arcade Coffee Roasters comes from the Cuilco region of Guatemala, where coffee farmer Doña Luz Audeli Villatoro has worked the lands on La Bendición her whole life, after inheriting the farm from her father. You'll love this coffee’s caramel and almond-noted sweetness so much, you won't miss the caffeine.","Arcade Coffee Roasters - La Bendicion",Medium,"Whole Bean",Cuilco,"White Chocolate, Caramel, Almond",Guatemala,Tuesday,/pages/arcade-coffee-roasters,1868,new,Colombia,,,"1,559 MASL","Bourbon, Caturra",,,,,,
arcade-coffee-roasters-la-bendicion,,"Default Title",,,sw0069,,,,,,,,,,,,,,,,,,,,,,,,,,
kuma-coffee-colombia-excelso,"Colombia Excelso",,,,,6887109886122,"Kuma Coffee","12 oz. bag",,,"Kuma Coffee - Colombia Excelso",Medium,"Whole Bean",Tolima,"Praline, Milk Chocolate, Pomelo",Colombia,Weekdays,/pages/kuma-coffee,1868,new,,,,"1,600-2,000 MASL","Caturra, Castillo, Colombia",,,,,,
kuma-coffee-colombia-excelso,,"Default Title",,,sw0051,,,,,,,,,,,,,,,,,,,,,,,,,,
coava-coffee-colombia-asprotiman,"Colombia AsproTimanà",,,,,6971069333674,"Coava Coffee Roasters","10.5 oz. bag",,"Our partners at Coava Coffee are proud to maintain a relationship with innovative fourth-generation Colombian farmer Robinson Figueroa, General Manager of the ASPROTimaná Cooperative in Huila. The cooperative originally came together out of a shared vision of socioeconomic stability for coffee farming families. It has since grown to include over 850 members from 22 villages around Timaná, with more joining every year. This coffee is made up of Caturra and Bourbon varieties grown between 1400-1700 meters, and features rich notes of chocolate mousse, dried blueberry, and fuji apple.","Coava - Colombia AsproTimanà",Medium,"Whole Bean","Huila, Timaná","Chocolate Mousse, Dried Blueberry, & Crisp Fuji Apple",Colombia,"Monday, Thursday",/pages/coava-coffee-roasters,1868,new,,,,"1,400-1,700 MASL","Caturra, Bourbon",,,,,,
coava-coffee-colombia-asprotiman,,"Default Title",,,sw0070,,,,,,,,,,,,,,,,,,,,,090122,,,,,
kuma-coffee-burundi-rotheca-project,"Burundi Rotheca Project",,,,,6974074388650,"Kuma Coffee","12 oz. bag",,,"Kuma Coffee - Burundi Rotheca Project",Medium,"Whole Bean",Kirundo,"Nectarine, Plum, Bittersweet Chocolate",Burundi,Weekdays,/pages/kuma-coffee,1868,new,,[],false,"1,500-1,800 MASL",Bourbon,,,,,,
kuma-coffee-burundi-rotheca-project,,"Default Title",,,sw0071,,,,,,,,,,,,,,,,,,,,,,,,,,
